run_id,mutation_scalar,use_ecm,valley_reaper,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.25_ecm0_top_fitness_00,0.25,0,top_fitness,584495087,500,1,,"{""0"": 323}","{""0"": ""valley""}","{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm0_top_fitness_00,0.5,0,top_fitness,3851317497,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.25_ecm0_random_00,0.25,0,random,3969392277,500,0,,{},{},"{""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm0_random_00,0.5,0,random,3826283493,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm0_top_fitness_00,1.0,0,top_fitness,4256195642,500,0,,{},{},"{""4"": 10, ""1"": 10, ""0"": 10, ""3"": 10, ""2"": 10}"
s0.25_ecm1_top_fitness_00,0.25,1,top_fitness,3591565453,500,1,,"{""0"": 203}","{""0"": ""valley""}","{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm0_random_00,1.0,0,random,203603782,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm0_top_fitness_00,1.5,0,top_fitness,1208563664,500,0,,{},{},"{""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm1_top_fitness_00,0.5,1,top_fitness,749261162,500,1,,"{""0"": 210}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""2"": 10}"
s0.25_ecm1_random_00,0.25,1,random,2420825926,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm0_random_00,1.5,0,random,3529480542,500,0,,{},{},"{""3"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""2"": 10}"
s0.25_ecm1_top_fitness_01,0.25,1,top_fitness,4159935156,500,1,,"{""0"": 463}","{""0"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.25_ecm0_top_fitness_01,0.25,0,top_fitness,101818272,500,1,,"{""4"": 306}","{""4"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.25_ecm0_random_01,0.25,0,random,3238721419,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm1_top_fitness_00,1.0,1,top_fitness,733281489,500,1,,"{""0"": 301}","{""0"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm0_top_fitness_01,0.5,0,top_fitness,3369977276,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.25_ecm1_random_01,0.25,1,random,1681399867,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm0_random_01,0.5,0,random,1499363658,500,0,,{},{},"{""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""2"": 10}"
s0.5_ecm1_top_fitness_01,0.5,1,top_fitness,162654585,500,1,,"{""0"": 248}","{""0"": ""valley""}","{""0"": 10, ""4"": 10, ""2"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_00,0.5,1,random,4159448851,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_01,1.0,0,top_fitness,1472049452,500,1,,"{""0"": 319}","{""0"": ""valley""}","{""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10}"
s1.0_ecm0_random_01,1.0,0,random,3854023837,500,0,,{},{},"{""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm1_random_01,0.5,1,random,1785652720,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm0_top_fitness_01,1.5,0,top_fitness,3549527269,500,0,,{},{},"{""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm1_top_fitness_00,1.5,1,top_fitness,2933065388,500,0,,{},{},"{""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""2"": 10}"
s1.0_ecm1_top_fitness_01,1.0,1,top_fitness,3738164035,500,1,,"{""0"": 252}","{""0"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm0_random_01,1.5,0,random,450999179,500,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}"
s0.25_ecm0_top_fitness_02,0.25,0,top_fitness,917737772,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_02,0.25,1,top_fitness,835430032,500,0,,{},{},"{""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10}"
s0.25_ecm0_random_02,0.25,0,random,649023305,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.25_ecm1_random_02,0.25,1,random,3493449268,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s0.5_ecm1_top_fitness_02,0.5,1,top_fitness,2002127053,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_02,0.5,0,top_fitness,1574778014,500,0,,{},{},"{""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm1_top_fitness_01,1.5,1,top_fitness,3818730872,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s0.5_ecm0_random_02,0.5,0,random,1870228522,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm0_top_fitness_02,1.0,0,top_fitness,2041807518,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm0_random_02,1.0,0,random,3877277363,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm1_random_00,1.0,1,random,490424343,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s0.5_ecm1_random_02,0.5,1,random,1174589121,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_02,1.0,1,top_fitness,863628707,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_02,1.5,0,top_fitness,1457954092,500,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}"
s1.5_ecm0_random_02,1.5,0,random,1213173760,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
s1.5_ecm1_random_00,1.5,1,random,2090092863,500,0,,{},{},"{""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""2"": 10}"
s0.25_ecm0_top_fitness_03,0.25,0,top_fitness,1211109482,500,1,,"{""0"": 265}","{""0"": ""valley""}","{""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10}"
