run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s1.0_ecm0_top_fitness_vc200_sl10_02,1.0,0,top_fitness,200,10,31739773,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_03,1.0,0,top_fitness,200,10,1859246334,550,0,,{},{},"{""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""2"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_04,1.0,0,top_fitness,200,10,1185278457,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_05,1.0,0,top_fitness,200,10,2568755484,550,0,,{},{},"{""3"": 10, ""1"": 10, ""2"": 10, ""0"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_06,1.0,0,top_fitness,200,10,393423154,550,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_02,1.0,1,top_fitness,200,10,2630884489,550,0,,{},{},"{""3"": 10, ""0"": 10, ""2"": 10, ""1"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_01,1.0,1,top_fitness,200,10,2054898212,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_04,1.0,1,top_fitness,200,10,791103370,550,0,,{},{},"{""3"": 10, ""4"": 10, ""2"": 10, ""1"": 10, ""0"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_03,1.0,1,top_fitness,200,10,3347769623,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_07,1.0,0,top_fitness,200,10,2192311881,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_08,1.0,0,top_fitness,200,10,346485725,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_09,1.0,0,top_fitness,200,10,1103451904,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_05,1.0,1,top_fitness,200,10,3803136540,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_10,1.0,0,top_fitness,200,10,827647212,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_06,1.0,1,top_fitness,200,10,2067144928,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_11,1.0,0,top_fitness,200,10,3838297667,550,0,,{},{},"{""3"": 10, ""0"": 10, ""4"": 10, ""2"": 10, ""1"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_12,1.0,0,top_fitness,200,10,3362797139,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_07,1.0,1,top_fitness,200,10,867427826,550,1,,"{""0"": 526}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""0"": 10, ""4"": 10, ""2"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_13,1.0,0,top_fitness,200,10,612155240,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_08,1.0,1,top_fitness,200,10,3705529109,550,0,,{},{},"{""1"": 10, ""3"": 10, ""0"": 10, ""2"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_14,1.0,0,top_fitness,200,10,199369372,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_09,1.0,1,top_fitness,200,10,1531513205,550,1,,"{""0"": 496}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10, ""0"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_11,1.0,1,top_fitness,200,10,2394270540,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_15,1.0,0,top_fitness,200,10,1524424374,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_10,1.0,1,top_fitness,200,10,4044639482,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",300,1
s1.0_ecm0_top_fitness_vc200_sl10_16,1.0,0,top_fitness,200,10,2352530293,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10}",300,0
s1.0_ecm0_top_fitness_vc200_sl10_17,1.0,0,top_fitness,200,10,1252102648,550,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_13,1.0,1,top_fitness,200,10,2105060248,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_14,1.0,1,top_fitness,200,10,816267067,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,2
s1.0_ecm0_top_fitness_vc200_sl10_18,1.0,0,top_fitness,200,10,2435340472,550,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_12,1.0,1,top_fitness,200,10,2443967394,550,1,,"{""0"": 507}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,2
s1.0_ecm0_top_fitness_vc200_sl10_19,1.0,0,top_fitness,200,10,1534292923,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_15,1.0,1,top_fitness,200,10,1184671185,550,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_16,1.0,1,top_fitness,200,10,3847267777,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_17,1.0,1,top_fitness,200,10,1590391860,550,1,,"{""0"": 508}","{""0"": ""in_situ""}","{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,1
s1.0_ecm1_top_fitness_vc200_sl10_19,1.0,1,top_fitness,200,10,2123702648,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s1.0_ecm1_top_fitness_vc200_sl10_18,1.0,1,top_fitness,200,10,947773996,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_01,0.5,0,top_fitness,200,10,519564556,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_02,0.5,0,top_fitness,200,10,3363640312,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_00,0.5,0,top_fitness,200,10,1654239700,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""4"": 10, ""2"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_03,0.5,0,top_fitness,200,10,3746591540,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_04,0.5,0,top_fitness,200,10,597154218,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_05,0.5,0,top_fitness,200,10,2840003069,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_06,0.5,0,top_fitness,200,10,3437059578,550,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_03,0.5,1,top_fitness,200,10,3795121732,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_01,0.5,1,top_fitness,200,10,3999235960,550,1,,"{""0"": 430}","{""0"": ""valley""}","{""3"": 10, ""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_00,0.5,1,top_fitness,200,10,2802372092,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_02,0.5,1,top_fitness,200,10,456617161,550,1,,"{""0"": 496}","{""0"": ""valley""}","{""3"": 10, ""0"": 10, ""4"": 10, ""2"": 10, ""1"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_07,0.5,0,top_fitness,200,10,1455119870,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_04,0.5,1,top_fitness,200,10,4124115284,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_08,0.5,0,top_fitness,200,10,2619657086,550,0,,{},{},"{""1"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_05,0.5,1,top_fitness,200,10,2683555097,550,1,,"{""4"": 480}","{""4"": ""valley""}","{""3"": 10, ""4"": 10, ""1"": 10, ""2"": 10, ""0"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_09,0.5,0,top_fitness,200,10,2746049199,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_06,0.5,1,top_fitness,200,10,2436021044,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_10,0.5,0,top_fitness,200,10,15864701,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_11,0.5,0,top_fitness,200,10,1202037139,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_07,0.5,1,top_fitness,200,10,2847260397,550,0,,{},{},"{""3"": 10, ""0"": 10, ""2"": 10, ""1"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_12,0.5,0,top_fitness,200,10,2501022229,550,0,,{},{},"{""3"": 10, ""4"": 10, ""1"": 10, ""0"": 10, ""2"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_09,0.5,1,top_fitness,200,10,2398627918,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_13,0.5,0,top_fitness,200,10,2523584842,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_10,0.5,1,top_fitness,200,10,3041847452,550,0,,{},{},"{""3"": 10, ""2"": 10, ""0"": 10, ""1"": 10, ""4"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_08,0.5,1,top_fitness,200,10,2850642634,550,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_14,0.5,0,top_fitness,200,10,1718518017,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_15,0.5,0,top_fitness,200,10,1288131866,550,0,,{},{},"{""3"": 10, ""4"": 10, ""2"": 10, ""0"": 10, ""1"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_12,0.5,1,top_fitness,200,10,3050641335,550,0,,{},{},"{""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10, ""4"": 10}",300,1
s0.5_ecm0_top_fitness_vc200_sl10_16,0.5,0,top_fitness,200,10,3219222497,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_11,0.5,1,top_fitness,200,10,2907932097,550,0,,{},{},"{""3"": 10, ""4"": 10, ""2"": 10, ""1"": 10, ""0"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_13,0.5,1,top_fitness,200,10,2660308068,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_17,0.5,0,top_fitness,200,10,1337573619,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_14,0.5,1,top_fitness,200,10,4240007392,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_18,0.5,0,top_fitness,200,10,359973588,550,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_16,0.5,1,top_fitness,200,10,3875048321,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,0
s0.5_ecm0_top_fitness_vc200_sl10_19,0.5,0,top_fitness,200,10,912516671,550,0,,{},{},"{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_15,0.5,1,top_fitness,200,10,292693018,550,1,,"{""3"": 513}","{""3"": ""valley""}","{""3"": 10, ""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10}",300,0
s0.5_ecm1_top_fitness_vc200_sl10_17,0.5,1,top_fitness,200,10,126328559,550,0,,{},{},"{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",300,2
s0.5_ecm1_top_fitness_vc200_sl10_18,0.5,1,top_fitness,200,10,2803249724,550,1,,"{""3"": 505}","{""3"": ""valley""}","{""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10}",300,1
s0.5_ecm1_top_fitness_vc200_sl10_19,0.5,1,top_fitness,200,10,4096689825,550,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",300,1
