run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.0_ecm0_top_fitness_vc0_08,1.0,0,top_fitness,0,953740509,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc50_08,1.0,0,top_fitness,50,3959829380,500,1,,"{""1"": 458}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc500_06,1.0,1,top_fitness,500,4152074611,500,1,,"{""1"": 222}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_07,1.0,1,top_fitness,200,729000994,500,2,,"{""0"": 188, ""3"": 431}","{""0"": ""valley"", ""3"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc500_08,0.5,1,top_fitness,500,3746353619,500,1,,"{""1"": 405}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc50_08,1.0,1,top_fitness,50,1058897721,500,1,,"{""1"": 172}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_08,1.0,0,top_fitness,200,879259596,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc0_09,0.5,1,top_fitness,0,3963369645,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc0_09,0.5,0,top_fitness,0,2810735471,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc50_09,0.5,0,top_fitness,50,3508979123,500,1,,"{""2"": 328}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc50_09,0.5,1,top_fitness,50,1145546413,500,2,,"{""1"": 186, ""2"": 200}","{""1"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc500_07,1.0,1,top_fitness,500,3425355585,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc500_08,1.0,0,top_fitness,500,2006549504,500,1,,"{""2"": 203}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_09,0.5,0,top_fitness,200,2927526083,500,2,,"{""1"": 236, ""2"": 498}","{""1"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_09,0.5,1,top_fitness,200,400473670,500,1,,"{""1"": 475}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_08,1.0,1,top_fitness,200,4269850747,500,1,,"{""1"": 175}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc0_09,1.0,1,top_fitness,0,2252433708,500,2,,"{""0"": 487, ""2"": 492}","{""0"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10, ""4"": 10}"
s0.5_ecm0_top_fitness_vc500_09,0.5,0,top_fitness,500,3180437191,500,1,,"{""4"": 498}","{""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc0_09,1.0,0,top_fitness,0,1990986563,500,1,,"{""1"": 402}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc50_09,1.0,0,top_fitness,50,2548066996,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_09,1.0,0,top_fitness,200,3866830014,500,1,,"{""2"": 450}","{""2"": ""valley""}","{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc50_09,1.0,1,top_fitness,50,671377258,500,1,,"{""1"": 268}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc500_09,0.5,1,top_fitness,500,3253122445,500,1,,"{""2"": 138}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc500_09,1.0,0,top_fitness,500,489185311,500,1,,"{""2"": 189}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_09,1.0,1,top_fitness,200,3643920522,500,1,,"{""1"": 147}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc500_08,1.0,1,top_fitness,500,108032580,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}"
s1.0_ecm1_top_fitness_vc500_09,1.0,1,top_fitness,500,110189215,500,1,,"{""2"": 133}","{""2"": ""valley""}","{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
