run_id,mutation_scalar,use_ecm,valley_reaper,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.5_ecm0_top_fitness_14,1.5,0,top_fitness,4033101794,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.5_ecm0_random_14,1.5,0,random,96287741,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_15,0.25,0,top_fitness,4087715967,500,1,,"{""2"": 225}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_15,0.25,0,random,1797679528,500,0,,{},{},"{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_15,0.25,1,top_fitness,1738192823,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_15,0.5,0,top_fitness,3937865371,500,1,,"{""2"": 173}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_15,0.25,1,random,2140612587,500,1,,"{""3"": 434}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_15,0.5,0,random,2999872664,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_15,0.5,1,top_fitness,1967746052,500,1,,"{""1"": 298}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_14,1.5,1,top_fitness,321647216,500,1,,"{""1"": 401}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_15,1.0,0,top_fitness,3419355559,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_15,1.0,0,random,3065330290,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_15,0.5,1,random,654383496,500,1,,"{""1"": 235}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_15,1.0,1,top_fitness,147759787,500,1,,"{""1"": 155}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""3"": 10, ""4"": 10, ""1"": 10}"
