run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s1.0_ecm1_top_fitness_vc200_sl10_08,1.0,1,top_fitness,200,10,3705529109,500,1,,"{""3"": 257}","{""3"": ""valley""}","{""1"": 10, ""0"": 10, ""2"": 10, ""3"": 10}",,
s1.0_ecm0_random_vc200_sl10_09,1.0,0,random,200,10,304036284,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm1_random_vc200_sl10_05,1.0,1,random,200,10,1114552857,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_10,1.0,0,top_fitness,200,10,827647212,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_09,1.0,1,top_fitness,200,10,1531513205,500,1,,"{""2"": 165}","{""2"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm0_random_vc200_sl10_10,1.0,0,random,200,10,1457221137,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_06,1.0,1,random,200,10,2405878581,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_10,1.0,1,top_fitness,200,10,4044639482,500,1,,"{""1"": 160}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_11,1.0,0,top_fitness,200,10,3838297667,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_11,1.0,0,random,200,10,91570814,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_11,1.0,1,top_fitness,200,10,2394270540,500,2,,"{""1"": 411, ""2"": 415}","{""1"": ""in_situ"", ""2"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_12,1.0,0,top_fitness,200,10,3362797139,500,2,,"{""2"": 297, ""1"": 475}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_12,1.0,0,random,200,10,1992107323,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm1_random_vc200_sl10_07,1.0,1,random,200,10,701111279,500,1,,"{""1"": 405}","{""1"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_12,1.0,1,top_fitness,200,10,2443967394,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm1_random_vc200_sl10_08,1.0,1,random,200,10,3504060986,500,1,,"{""1"": 349}","{""1"": ""in_situ""}","{""2"": 10, ""1"": 10, ""0"": 10, ""3"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_13,1.0,0,top_fitness,200,10,612155240,500,1,,"{""2"": 241}","{""2"": ""valley""}","{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm0_random_vc200_sl10_13,1.0,0,random,200,10,2977182772,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm1_random_vc200_sl10_09,1.0,1,random,200,10,896410664,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_14,1.0,0,top_fitness,200,10,199369372,500,1,,"{""2"": 443}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_13,1.0,1,top_fitness,200,10,2105060248,500,1,,"{""1"": 165}","{""1"": ""valley""}","{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm0_random_vc200_sl10_14,1.0,0,random,200,10,844075872,500,1,,"{""3"": 480}","{""3"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_14,1.0,1,top_fitness,200,10,816267067,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_15,1.0,0,top_fitness,200,10,1524424374,500,1,,"{""2"": 306}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm1_random_vc200_sl10_10,1.0,1,random,200,10,261152868,500,2,,"{""1"": 408, ""2"": 450}","{""1"": ""in_situ"", ""2"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_15,1.0,0,random,200,10,849565128,500,1,,"{""2"": 446}","{""2"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_11,1.0,1,random,200,10,4097572849,500,1,,"{""1"": 441}","{""1"": ""in_situ""}","{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm1_random_vc200_sl10_12,1.0,1,random,200,10,183323196,500,1,,"{""2"": 389}","{""2"": ""in_situ""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_16,1.0,0,top_fitness,200,10,2352530293,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_15,1.0,1,top_fitness,200,10,1184671185,500,1,,"{""1"": 140}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""0"": 10, ""3"": 10}",,
s1.0_ecm0_random_vc200_sl10_16,1.0,0,random,200,10,3825759024,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_17,1.0,0,top_fitness,200,10,1252102648,500,1,,"{""2"": 257}","{""2"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_16,1.0,1,top_fitness,200,10,3847267777,500,3,,"{""2"": 178, ""3"": 454, ""1"": 478}","{""2"": ""valley"", ""3"": ""in_situ"", ""1"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_17,1.0,0,random,200,10,1563912622,500,1,,"{""3"": 462}","{""3"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_17,1.0,1,top_fitness,200,10,1590391860,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_18,1.0,0,top_fitness,200,10,2435340472,500,1,,"{""2"": 262}","{""2"": ""in_situ""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_18,1.0,1,top_fitness,200,10,947773996,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm0_random_vc200_sl10_18,1.0,0,random,200,10,3636075315,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_13,1.0,1,random,200,10,2805647119,500,1,,"{""1"": 307}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_14,1.0,1,random,200,10,4279043228,500,1,,"{""1"": 211}","{""1"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_19,1.0,0,top_fitness,200,10,1534292923,500,2,,"{""2"": 322, ""1"": 469}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm0_random_vc200_sl10_19,1.0,0,random,200,10,3785614042,500,0,,{},{},"{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_19,1.0,1,top_fitness,200,10,2123702648,500,2,,"{""2"": 244, ""1"": 435}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_15,1.0,1,random,200,10,63384409,500,1,,"{""2"": 440}","{""2"": ""in_situ""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_16,1.0,1,random,200,10,2997252162,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_17,1.0,1,random,200,10,2862452031,500,0,,{},{},"{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_random_vc200_sl10_18,1.0,1,random,200,10,3581679881,500,1,,"{""1"": 468}","{""1"": ""in_situ""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm1_random_vc200_sl10_19,1.0,1,random,200,10,2992581399,500,0,,{},{},"{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
