run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.5_ecm1_random_vc200_11,0.5,1,random,200,1471935291,500,2,,"{""2"": 376, ""1"": 447}","{""2"": ""in_situ"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_vc200_11,1.5,0,top_fitness,200,3020139720,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_random_vc200_11,1.5,0,random,200,2418591311,500,0,,{},{},"{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_vc200_09,1.5,1,random,200,945988991,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_vc200_12,0.25,1,top_fitness,200,978753216,500,1,,"{""1"": 352}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_vc200_12,0.25,0,top_fitness,200,577517215,500,1,,"{""2"": 226}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_vc200_12,0.25,0,random,200,1759040359,500,1,,"{""2"": 410}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_random_vc200_10,1.0,1,random,200,1964351107,500,1,,"{""4"": 439}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_vc200_12,0.5,0,top_fitness,200,3505169339,500,1,,"{""2"": 248}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.25_ecm1_random_vc200_12,0.25,1,random,200,1559411870,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_12,0.5,0,random,200,496757626,500,1,,"{""2"": 448}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_12,0.5,1,top_fitness,200,3523855287,500,2,,"{""2"": 174, ""1"": 405}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_12,1.0,0,top_fitness,200,4204555079,500,1,,"{""2"": 262}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_vc200_11,1.5,1,top_fitness,200,3113707461,500,1,,"{""1"": 330}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm0_random_vc200_12,1.0,0,random,200,27397977,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_12,1.0,1,top_fitness,200,2279111170,500,1,,"{""2"": 224}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_vc200_11,1.0,1,random,200,1977113851,500,1,,"{""3"": 316}","{""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_vc200_12,0.5,1,random,200,3695715697,500,1,,"{""1"": 148}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_vc200_12,1.5,0,top_fitness,200,2926978603,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
